"Education_lev_x_Some_College_minus_Extremely_Likely","DogOwner_lev_x_","EthnicDescription_catN","MedianEducationYears","Education_lev_x_HS_Diploma_minus_Likely","BookBuyerInHome_lev_x_2_book_purchases_in_home","OccupationIndustry_lev_x_Clerical_slash_Office","OccupationIndustry_lev_x_Manufacturing","OccupationIndustry_lev_x_Financial_Services","Education_lev_x_HS_Diploma_minus_Extremely_Likely","BookBuyerInHome_catP","BookBuyerInHome_lev_x_","BookBuyerInHome_lev_x_1_book_purchase_in_home_","OccupationIndustry_lev_x_Skilled_Trades","OccupationIndustry_lev_x_Medical","OccupationIndustry_lev_x_Management","OccupationIndustry_lev_x_Unknown","OccupationIndustry_catP","OccupationIndustry_lev_x_Other","OccupationIndustry_lev_x_Education","BroadEthnicGroupings_catP","ISPSA","BroadEthnicGroupings_catD","EthnicDescription_catP","BroadEthnicGroupings_catN","Education_catP","EthnicDescription_catD","Education_catD","Education_catN","NetWorth_catN","OccupationIndustry_catD","NetWorth_catP","OccupationIndustry_catN","NetWorth_catD","BookBuyerInHome_catD","BookBuyerInHome_catN","PresenceOfChildrenCode_catN","UpscaleBuyerInHome_catN","UpscaleBuyerInHome_catD","UpscaleBuyerInHome_catP","MosaicZ4_catN","Education_lev_x_Bach_Degree_minus_Extremely_Likely","BroadEthnicGroupings_lev_x_Irish","PresenceOfChildrenCode_catP","DogOwner_lev_x_Yes","MosaicZ4_catP","AnyDonation","HighSpenders","OccupationRebinned","HasPet","MagazineSubscriptionCount","gbmPred","lmPred","xgbPred","ensemblePred"
0,0,-0.742486571208303,16,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.0000666666666666667,9,167.828405135337,0.406866666666667,142.372421360821,0.184066666666667,98.1901517761769,100.146527534892,-2.44594361468762,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,98.9257727609024,-0.232746773281519,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,1,0.7916,1,0,"Other",1,2,321.127273945985,422.886128425269,309.255859375,351.089753915418
0,1,63.6952602680393,15,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,7,98.9335721309893,0.0008,-0.476240578249076,0.207466666666667,59.1181797260811,98.5263524382467,4.11552040678816,-0.200421836437215,98.4777704868966,0.228466666666667,-0.269804532752573,98.4125606550901,98.9257727609024,-0.232746773281519,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,0,0.7916,0,0,"Other",1,1,334.326490637323,358.880882479465,317.489807128906,336.899060081898
0,1,5.61984697000258,14.3605676494902,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,0,0.00573333333333333,0,0,0.0006,9,69.3173287849107,0.0902666666666667,69.3790155246788,0.207466666666667,99.0347147106627,98.5263524382467,4.11552040678816,-0.200421836437215,98.6022181332272,0.228466666666667,5.83262170175362,98.4125606550901,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,1,1,"Other",1,0,318.82278050693,387.488478344938,301.607879638672,335.973046163513
0,1,56.6195377455189,14,0,1,0,0,0,0,0.081,0,0,0,0,0,1,0.6392,0,0,0.072,7,101.295783780048,0.001,1.0192167636323,0.207466666666667,87.9351891343947,98.5263524382467,4.11552040678816,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,101.682173192424,-3.97329218946612,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,0,0.7916,0,0,"Other",0,0,326.175631152766,374.981143669822,304.250823974609,335.135866265733
0,1,56.6195377455189,15,0,1,0,0,0,0,0.081,0,0,0,0,0,1,0.6392,0,0,0.072,6.88686659772492,101.295783780048,0.001,1.0192167636323,0.184066666666667,87.9351891343947,100.146527534892,-2.44594361468762,-0.200421836437215,98.4777704868966,0.228466666666667,-0.269804532752573,98.4125606550901,101.682173192424,-3.97329218946612,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,-4.57071254324984,0,0,0.250733333333333,0,0.0183333333333333,0,0,"Other",0,1,334.326490637323,352.380805906813,316.9375,334.548265514712
0,1,-0.244508498276389,14.3605676494902,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,0,0.0332,0,1,0.4066,5,98.9335721309893,0.0734666666666667,-0.476240578249076,0.0000666666666666667,99.3022139903814,105.299339276523,81.9378782728625,-0.200421836437215,99.4041843967334,0.228466666666667,-5.12379760818004,98.4125606550901,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,0,1,"Other",0,1,324.985867820365,370.060831473532,306.982543945312,334.009747746403
0,1,56.6195377455189,17,0,0,0,0,0,0,0.657533333333333,1,0,1,0,0,0,0.0384666666666667,0,0,0.4066,9,98.9335721309893,0.001,-0.476240578249076,0.0939333333333333,87.9351891343947,95.4265212471927,0.269278892447517,-0.200421836437215,101.566876210191,0.228466666666667,-1.35665258694883,98.4125606550901,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,0,1,"Service-Oriented",0,0,325.249405387856,373.528537177617,302.924560546875,333.900834370783
0,0,63.6952602680393,16,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,8,98.9335721309893,0.0008,-0.476240578249076,0.0939333333333333,59.1181797260811,95.4265212471927,0.269278892447517,3.50046213814039,98.4777704868966,0.103866666666667,-0.269804532752573,97.9854417491854,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,1,0.7916,0,0,"Other",1,0,326.175631152766,370.46898053619,304.756103515625,333.800238401527
1,1,63.6952602680393,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.0864666666666667,7,98.1953508955077,0.0008,-0.797301431687458,0.053,59.1181797260811,96.4221103556902,-0.607422935394595,-2.0129328871987,98.4777704868966,0.2184,-0.269804532752573,98.7666250947536,98.9257727609024,-0.232746773281519,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,0,0.7916,0,0,"Other",1,1,334.326490637323,349.679256195412,316.062652587891,333.356133140209
0,1,63.6952602680393,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,8,98.9335721309893,0.0008,-0.476240578249076,0.0939333333333333,59.1181797260811,95.4265212471927,0.269278892447517,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,1,0,"Other",0,0,326.175631152766,369.897498400356,303.698516845703,333.257215466275
